year,Tmin,Ycold
1950,-13.5,13.5
1951,-7.4,7.4
1952,-7.1,7.1
1953,-8.1,8.1
1954,-13,13
1955,-10.5,10.5
1956,-21.6,21.6
1957,-10.1,10.1
1958,-11.2,11.2
1959,-7.6,7.6
1960,-9.4,9.4
1961,-11.7,11.7
1962,-11.5,11.5
1963,-18.2,18.2
1964,-12.7,12.7
1965,-10,10
1966,-11.2,11.2
1967,-12.4,12.4
1968,-16.8,16.8
1969,-16.4,16.4
1970,-12,12
1971,-14,14
1972,-11.9,11.9
1973,-13.4,13.4
1974,-5.8,5.8
1975,-7.8,7.8
1976,-10.6,10.6
1977,-5.3,5.3
1978,-13.2,13.2
1979,-17.7,17.7
1980,-11,11
1981,-12.3,12.3
1982,-13.6,13.6
1983,-7.6,7.6
1984,-8.8,8.8
1985,-18.3,18.3
1986,-14.6,14.6
1987,-15.2,15.2
1988,-6.3,6.3
1989,-6.6,6.6
1990,-3.8,3.8
1991,-12.5,12.5
1992,-9.3,9.3
1993,-10.3,10.3
1994,-10.1,10.1
1995,-12.5,12.5
1996,-14.1,14.1
1997,-16,16
1998,-10.2,10.2
1999,-10.3,10.3
2000,-7.7,7.7
2001,-9,9
2002,-8.7,8.7
2003,-10.6,10.6
2004,-7.8,7.8
2005,-14.4,14.4
2006,-7.3,7.3
2007,-6.9,6.9
2008,-8.7,8.7
2009,-11.5,11.5
2010,-11.1,11.1
2011,-6.4,6.4
2012,-18.9,18.9
2013,-12.9,12.9
2014,-3.3,3.3
2015,-5.7,5.7
2016,-8,8
2017,-7.4,7.4
2018,-8.5,8.5
2019,-8.1,8.1
2020,-4.3,4.3
2021,-10.9,10.9
2022,-7.7,7.7
2023,-5.8,5.8
2024,-7.6,7.6
