Comparison,D,df,p_value
stat vs mu,8.3581145859925,1,0.00383968758730069
stat vs sig,0.00299148575737718,1,0.956381869908313
stat vs xi,0.459171764428106,1,0.498011304712969
mu vs mu_sig,0.871983159508602,1,0.350406870758169
mu vs mu_xi,0.0351339504949806,1,0.851315251092549
sig vs mu_sig,9.22710625974372,1,0.0023845821934223
sig vs sig_xi,0.54561521514006,1,0.460114870459911
mu_sig vs mu_sig_xi,0.0933256179778255,1,0.759991143067002
mu_xi vs mu_sig_xi,0.930174826991447,1,0.334817500516738
sig_xi vs mu_sig_xi,8.77481666258149,1,0.00305417854991685
