year,Pmax
1957,41.1
1958,36.7
1959,47.5
1960,43.6
1961,25.4
1962,50.6
1963,26.3
1964,63.9
1965,40
1966,30.7
1967,49.5
1968,11.4
1969,19.3
1970,13
1971,11.5
1972,37.8
1973,27.4
1974,25
1975,13
1976,14.2
1977,6.9
1978,27.2
1979,16.4
1980,12.4
1981,34.2
1982,30.1
1983,52.2
1984,46.7
1985,28.4
1986,27.7
1987,37.8
1988,31.2
1989,24.7
1990,20.1
1991,55.9
1992,49.6
1993,28.3
1994,25.4
1995,42.7
1996,31.2
1997,61.2
1998,34.5
1999,30.1
2000,31.6
2001,32.8
2002,21.3
2003,25.3
2004,34.5
2005,33.2
2006,32.7
2007,28.2
2008,28.4
2009,25.4
2010,35.4
2011,26.3
2012,26.3
2013,32.1
2014,45.5
2015,30
2016,35.9
2017,32.1
2018,36.6
2019,23.2
2020,27.5
2021,23.2
2022,28.2
2023,29.7
2024,34.3
