Comparison,D,df,p_value
stat vs mu,1.23415067913231,1,0.266601345808943
stat vs sig,20.2831789757689,1,6.67851629088112e-06
stat vs xi,0.736495160891764,1,0.390785921375849
mu vs mu_sig,20.1608920727355,1,7.11936867381358e-06
mu vs mu_xi,0.682475793297044,1,0.408735495127161
sig vs mu_sig,1.11186377609891,1,0.291677163567714
sig vs sig_xi,1.34772895071052,1,0.245675537397451
mu_sig vs mu_sig_xi,0.566257633948624,1,0.451749877066583
mu_xi vs mu_sig_xi,20.0446739133871,1,7.56539422375191e-06
sig_xi vs mu_sig_xi,0.33039245933702,1,0.565428085137604
