year,Tmax
1950,30.9
1951,28
1952,30.9
1953,30.9
1954,29.2
1955,30.5
1956,28.5
1957,34.2
1958,28.2
1959,34
1960,27.7
1961,32.2
1962,27
1963,28.7
1964,31.7
1965,27.6
1966,30.9
1967,31.3
1968,30.6
1969,31.1
1970,29.4
1971,29.5
1972,31.4
1973,31.7
1974,26.5
1975,32.9
1976,34.9
1977,30.8
1978,32.1
1979,29.9
1980,29.3
1981,29.2
1982,32.1
1983,33.2
1984,30.5
1985,30.1
1986,30.7
1987,29.4
1988,28
1989,32.2
1990,35.3
1991,32.4
1992,30.9
1993,29
1994,34.1
1995,32.4
1996,33.9
1997,32.1
1998,32
1999,31.4
2000,33.6
2001,31.6
2002,33.3
2003,35
2004,32.5
2005,32.8
2006,35.7
2007,31.5
2008,31.2
2009,33.8
2010,34.4
2011,32.2
2012,33
2013,34
2014,32.9
2015,33.1
2016,32.9
2017,31.9
2018,35.7
2019,37.5
2020,34.6
2021,30.8
2022,35.5
2023,32.2
2024,30.9
