Comparison,D,df,p_value
stat vs mu,28.3039225032957,1,1.03685669494702e-07
stat vs sig,2.96603001384273,1,0.0850302890407018
stat vs xi,3.95949906308499,1,0.0466075712666484
mu vs mu_sig,0.504236693933194,1,0.477644447392912
mu vs mu_xi,0.200659722104774,1,0.65418886351497
sig vs mu_sig,25.8421291833862,1,3.70512453495842e-07
sig vs sig_xi,1.04870622178834,1,0.305805243841659
mu_sig vs mu_sig_xi,0.000986594929315743,1,0.974942479543522
mu_xi vs mu_sig_xi,0.304563566757736,1,0.581035517957193
sig_xi vs mu_sig_xi,24.7944095565272,1,6.37821879423406e-07
