year,Wmax
1951,25.7
1952,22.6
1953,33.4
1954,36
1955,31.9
1956,29.8
1957,32.9
1958,35
1959,31.4
1960,37
1961,27.3
1962,28.3
1963,25.7
1964,28.8
1965,24.7
1966,24.7
1967,26.8
1968,24.7
1969,24.7
1970,23.7
1971,24.7
1972,28.8
1973,30.4
1974,27.3
1975,25.2
1976,32.9
1977,31.9
1978,25.7
1979,23.7
1980,23.7
1981,25.2
1982,25.7
1983,29.3
1984,25.7
1985,27.8
1986,30.4
1987,25.2
1988,22.1
1989,22.6
1990,35
1991,28.8
1992,28.8
1993,27.8
1994,27.8
1995,25.7
1996,24
1997,25
1998,27
1999,32
2000,28
2001,22
2002,28
2003,19
2004,27
2005,24
2006,24
2007,28
2008,24
2009,21
2010,21
2011,25
2012,26
2013,26
2014,24
2015,26
2016,26
2017,25
2018,34
2019,23
2020,28
2021,28
2022,31
2023,23
2024,26
