Comparison,D,df,p_value
stat vs mu,7.14336072049548,1,0.00752420203521464
stat vs sig,1.42058163692258,1,0.233307692225667
stat vs xi,2.66829494256194,1,0.10236563725969
mu vs mu_sig,0.739355062717721,1,0.389867552863127
mu vs mu_xi,0.451614230251664,1,0.50156937734973
sig vs mu_sig,6.46213414629062,1,0.0110197216927291
sig vs sig_xi,1.26156916351636,1,0.26135427822981
mu_sig vs mu_sig_xi,0.0377451292835076,1,0.845955817011476
mu_xi vs mu_sig_xi,0.325485961749564,1,0.568329285335796
sig_xi vs mu_sig_xi,5.23831011205778,1,0.022094726045963
