year,Pmax
1957,30.8
1958,28.8
1959,25.1
1960,73.3
1961,33.3
1962,30.5
1963,23.7
1964,29.7
1965,44.2
1966,35.3
1967,36.2
1968,42.7
1969,21.7
1970,25.5
1971,25.8
1972,20.2
1973,46.7
1974,45.4
1975,30.5
1976,28.4
1977,18.2
1978,27.5
1979,28.6
1980,66.3
1981,37.3
1982,52.6
1983,40.9
1984,32.4
1985,24.5
1986,25.9
1987,49.5
1988,33.8
1989,34.3
1990,38.4
1991,22.9
1992,38
1993,26.7
1994,42.1
1995,29.7
1996,30.4
1997,21.5
1998,35
1999,26.3
2000,24
2001,33.3
2002,35.5
2003,22.2
2004,25.5
2005,41.8
2006,65.6
2007,37.2
2008,90.2
2009,18.2
2010,25.6
2011,52.3
2012,25.6
2013,40.9
2014,21.8
2015,40.6
2016,32
2017,33.5
2018,21.6
2019,34.2
2020,39.5
2021,45.4
2022,39.3
2023,30.2
2024,41.2
2025,26
