Comparison,D,df,p_value
stat vs mu,0.0128242942356565,1,0.909836795570882
stat vs sig,0.194724746581187,1,0.659013003197797
stat vs xi,0.0599097986204242,1,0.806638564272637
mu vs mu_sig,0.297562975322194,1,0.585414265279049
mu vs mu_xi,0.0748010538954986,1,0.784470573002417
sig vs mu_sig,0.115662522976663,1,0.733787296534147
sig vs sig_xi,0.0716626184226925,1,0.788931215412654
mu_sig vs mu_sig_xi,0.126781984445415,1,0.721792202956626
mu_xi vs mu_sig_xi,0.34954390587211,1,0.554371427490821
sig_xi vs mu_sig_xi,0.170781888999386,1,0.679417851078302
