year,Tmax
1950,27.6
1951,27.2
1952,27.9
1953,30.2
1954,27.1
1955,25.7
1956,24.4
1957,29.5
1958,27.3
1959,31.5
1960,28.8
1961,30
1962,26.2
1963,25
1964,30.9
1965,25.8
1966,26
1967,28.7
1968,30.7
1969,31
1970,28.7
1971,27.4
1972,26
1973,30.5
1974,27.4
1975,31.4
1976,30
1977,27
1978,28.8
1979,26.3
1980,27.7
1981,27.5
1982,28.7
1983,27.3
1984,29.9
1985,28.5
1986,26
1987,27
1988,27
1989,28.8
1990,33.8
1991,31.7
1992,29.9
1993,28.5
1994,32.2
1995,29.9
1996,31.7
1997,30.3
1998,28.9
1999,30
2000,30.5
2001,30.5
2002,29.1
2003,30.2
2004,31
2005,30
2006,30.1
2007,28.1
2008,29.3
2009,33.3
2010,32.6
2011,30.3
2012,31
2013,30.3
2014,34.6
2015,31.7
2016,32.5
2017,31.1
2018,34.5
2019,34.8
2020,32.1
2021,27.6
2022,36.1
2023,29.8
2024,28.8
2025,34.2
