Comparison,D,df,p_value
stat vs mu,33.2421721429113,1,8.1366633430946e-09
stat vs sig,6.89026753197567,1,0.00866662966071663
stat vs xi,8.65358088615204,1,0.00326419208714479
mu vs mu_sig,0.341077159578049,1,0.559208123944024
mu vs mu_xi,0.0759941876523271,1,0.782801206983826
sig vs mu_sig,26.6929817705137,1,2.38486169146235e-07
sig vs sig_xi,2.09772555594697,1,0.147518434820413
mu_sig vs mu_sig_xi,0.00569739869985142,1,0.939831922829052
mu_xi vs mu_sig_xi,0.270780370625573,1,0.602808772915463
sig_xi vs mu_sig_xi,24.6009536132666,1,7.05168292647329e-07
