year,Tmin,Ycold
1950,-9.5,9.5
1951,-5.2,5.2
1952,-5.2,5.2
1953,-8,8
1954,-12.2,12.2
1955,-8.3,8.3
1956,-20,20
1957,-8.5,8.5
1958,-8.5,8.5
1959,-5.8,5.8
1960,-6.6,6.6
1961,-11.4,11.4
1962,-8.7,8.7
1963,-15.8,15.8
1964,-7.3,7.3
1965,-8.6,8.6
1966,-9.2,9.2
1967,-8.3,8.3
1968,-14.1,14.1
1969,-9.2,9.2
1970,-9,9
1971,-11,11
1972,-11.9,11.9
1973,-9.2,9.2
1974,-3.8,3.8
1975,-3.5,3.5
1976,-7.4,7.4
1977,-4.3,4.3
1978,-9.3,9.3
1979,-18.8,18.8
1980,-8.7,8.7
1981,-10,10
1982,-11.2,11.2
1983,-6,6
1984,-4.8,4.8
1985,-15,15
1986,-13.4,13.4
1987,-13.4,13.4
1988,-5.5,5.5
1989,-5.5,5.5
1990,-2.7,2.7
1991,-12.7,12.7
1992,-7.2,7.2
1993,-8.9,8.9
1994,-8.4,8.4
1995,-9.4,9.4
1996,-11.5,11.5
1997,-12.5,12.5
1998,-7.7,7.7
1999,-7.3,7.3
2000,-5.3,5.3
2001,-10.9,10.9
2002,-6.6,6.6
2003,-8.5,8.5
2004,-7.8,7.8
2005,-9.8,9.8
2006,-4.7,4.7
2007,-6.4,6.4
2008,-5.9,5.9
2009,-6.8,6.8
2010,-12.3,12.3
2011,-4.7,4.7
2012,-17.6,17.6
2013,-9.6,9.6
2014,-2.3,2.3
2015,-4.7,4.7
2016,-5.2,5.2
2017,-4.9,4.9
2018,-7.7,7.7
2019,-5.8,5.8
2020,-2.1,2.1
2021,-8.2,8.2
2022,-6.7,6.7
2023,-4.3,4.3
2024,-3.6,3.6
2025,-3.8,3.8
