Comparison,D,df,p_value
stat vs mu,8.85656555410282,1,0.00292036533257134
stat vs sig,0.357082590459811,1,0.550130971382325
stat vs xi,0.386008966633028,1,0.534404754285357
mu vs mu_sig,0.949512814750392,1,0.329843337126017
mu vs mu_xi,0.0264217869664094,1,0.870874490554155
sig vs mu_sig,9.4489957783934,1,0.00211264739279438
sig vs sig_xi,0.573670432723702,1,0.448804059479547
mu_sig vs mu_sig_xi,0.014986768394806,1,0.902566037686682
mu_xi vs mu_sig_xi,0.938077796178789,1,0.332772674040893
sig_xi vs mu_sig_xi,8.8903121140645,1,0.00286687721138168
