year,Wmax
1950,23.1
1951,20.6
1952,20.1
1953,25.7
1954,23.7
1955,21.1
1956,23.1
1957,23.7
1958,23.1
1959,22.1
1960,27.3
1961,23.1
1962,22.6
1963,20.6
1964,22.6
1965,22.6
1966,22.6
1967,24.2
1968,21.6
1969,22.6
1970,23.7
1971,23.1
1972,27.3
1973,26.8
1974,22.6
1975,19.5
1976,23.7
1977,20.6
1978,23.7
1979,22.6
1980,18
1981,20.6
1982,20.1
1983,24.7
1984,24.7
1985,19
1986,21.6
1987,24.7
1988,20.1
1989,18
1990,23.7
1991,22.6
1992,17.5
1993,22.1
1994,22.1
1995,22.6
1996,19
1997,20
1998,21
1999,21
2000,19
2001,19
2002,24
2003,18
2004,19
2005,19
2006,18
2007,22
2008,20
2009,18
2010,18
2011,17
2012,20
2013,24
2014,18
2015,19
2016,19
2017,20
2018,21
2019,17
2020,22
2021,17
2022,21
2023,17
2024,20
2025,18
