Comparison,D,df,p_value
stat vs mu,33.1006707218608,1,8.75085293117195e-09
stat vs sig,1.38513759472249,1,0.239227962845459
stat vs xi,0.607073637985138,1,0.435891769475129
mu vs mu_sig,0.373705121097203,1,0.540991554124244
mu vs mu_xi,0.0346055584466285,1,0.852424612909117
sig vs mu_sig,32.0892382482355,1,1.4725074271027e-08
sig vs sig_xi,0.134336245535735,1,0.713977768179197
mu_sig vs mu_sig_xi,0.385635275041977,1,0.534602656036331
mu_xi vs mu_sig_xi,0.724734837692552,1,0.394595174696032
sig_xi vs mu_sig_xi,32.3405372777418,1,1.29385753222522e-08
